country,morning_coffee,playing_with_children,prayer_meditation,walking,music,exercise,talking_friends,helping_someone,nature,region,overall_happiness
Finland,5.2,5.9,4.8,5.8,5.3,5.2,5.7,5.4,6.0,Europe,7.74
Denmark,5.1,5.8,4.5,5.6,5.2,5.3,5.8,5.5,5.9,Europe,7.59
Japan,5.5,5.2,5.6,4.8,5.0,4.5,4.8,5.0,5.4,Asia,5.85
United States,4.8,5.6,5.2,4.9,5.1,5.0,5.3,5.1,5.3,Americas,6.94
India,5.0,6.0,6.2,4.5,5.4,4.8,5.8,6.0,5.0,Asia,4.05
Brazil,5.2,6.1,5.5,4.8,5.8,5.2,6.0,5.8,5.2,Americas,6.13
Nigeria,4.5,5.8,6.5,4.2,5.6,4.5,5.9,6.2,4.8,Africa,3.68
South Korea,5.3,5.0,4.2,4.6,5.2,4.4,4.9,4.8,5.2,Asia,5.88
Mexico,5.4,6.2,5.8,4.6,5.7,4.9,6.1,5.9,5.0,Americas,6.08
Germany,4.9,5.5,4.0,5.4,5.0,5.1,5.4,5.2,5.7,Europe,6.72
France,5.6,5.4,3.8,5.3,5.1,4.8,5.6,5.0,5.5,Europe,6.66
Italy,5.8,5.7,5.0,5.2,5.3,4.9,5.9,5.5,5.4,Europe,6.32
Thailand,5.0,5.8,6.0,4.8,5.5,5.0,5.7,5.8,5.6,Asia,6.01
Australia,4.9,5.8,4.5,5.5,5.2,5.4,5.6,5.3,6.0,Oceania,7.06
UK,4.8,5.5,4.2,5.2,5.0,5.0,5.4,5.1,5.5,Europe,6.75
Colombia,5.3,6.0,5.6,4.5,5.8,5.0,6.2,5.9,5.1,Americas,5.97
Turkey,5.5,5.6,6.0,4.4,5.3,4.6,5.5,5.7,4.8,Middle East,4.89
Sweden,5.0,5.7,4.2,5.7,5.1,5.3,5.5,5.3,6.1,Europe,7.34
