activity,age_18_30,age_31_50,age_51_65,age_65_plus,male,female,low_income,high_income
Morning coffee/tea,4.2,4.8,5.1,5.3,4.7,4.9,4.6,5.0
Playing with children,5.5,6.0,5.6,5.9,5.6,6.0,5.7,5.9
Prayer or meditation,4.5,5.2,5.8,6.0,5.2,5.6,5.8,5.0
Walking outdoors,4.8,5.0,5.4,5.6,5.0,5.3,4.9,5.5
Listening to music,5.4,5.0,4.8,4.5,5.0,5.2,5.2,5.0
Exercise/sports,5.2,5.0,4.8,4.5,5.2,4.8,4.6,5.4
Talking with friends,5.8,5.4,5.2,5.5,5.2,5.8,5.4,5.6
Helping someone,5.0,5.2,5.5,5.8,5.1,5.5,5.4,5.2
Nature,5.2,5.4,5.8,6.0,5.4,5.7,5.2,5.9
Social media browsing,3.8,3.2,2.8,2.5,3.0,3.4,3.3,3.1
Working (main job),3.2,3.5,3.6,3.8,3.5,3.4,3.0,4.0
Commuting,2.5,2.8,3.0,3.2,2.7,2.9,2.5,3.1
